id,title,description,link,brand,gtin,mpn,image_link,additional_image_link,video_link,model_3d_link,condition,google_product_category,product_category,age_group,color,gender,material,pattern,size,size_type,size_system,item_group_id,availability,availability_date,price,sale_price,sale_price_effective_date,cost_of_goods_sold,tax,tax_behavior,applicable_fees,shipping,free_shipping_threshold,popularity_score,return_rate,product_review_count,product_review_rating,delete
SKU34EF5678-WHT,Wireless Bluetooth Headphones,Premium over-ear headphones with active noise cancellation and 30-hour battery life. Enjoy crystal-clear audio and deep bass for an immersive listening experience.,https://example.com/product/headphones?variant=white,Stripe Audio,1122334455669,STR-HP-PRO-WHT,https://example.com/images/headphones-white-main.jpg,"https://example.com/images/headphones-folded.jpg,https://example.com/images/headphones-case.jpg",https://youtu.be/headphones-demo-67890,,new,222,Electronics > Audio > Headphones,,,White,unisex,,,,,HEADPHONE-GROUP-001,in_stock,,199.99 USD,,,75.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:0.00 USD|US:ALL:Express Shipping:1-2:9.99 USD,US:ALL:Standard Shipping:100.00 USD,4.8,0.8,856,4.7,false
SKU90GH1234-BLK-500,Stainless Steel Water Bottle,Stay hydrated with this double-wall insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and leak-proof design perfect for outdoor adventures.,https://example.com/product/water-bottle?variant=black-500ml,Stripe Outdoors,5544332211009,STR-BTL-500-BLK,https://example.com/images/bottle-black-main.jpg,https://example.com/images/bottle-colors.jpg,,,new,4026,Home & Garden > Kitchen & Dining > Drinkware,adult,Black,unisex,Stainless Steel,,500ml,regular,,BOTTLE-GROUP-001,in_stock,,34.99 USD,,,12.00 USD,,exclusive,US:CA:Recycling Fee:0.05 USD,US:ALL:Standard Shipping:3-5:0.00 USD,US:ALL:Standard Shipping:25.00 USD,4.6,1.2,567,4.5,false
SKU90GH1234-BLU-500,Stainless Steel Water Bottle,Stay hydrated with this double-wall insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and leak-proof design perfect for outdoor adventures.,https://example.com/product/water-bottle?variant=blue-500ml,Stripe Outdoors,5544332211010,STR-BTL-500-BLU,https://example.com/images/bottle-blue-main.jpg,https://example.com/images/bottle-colors.jpg,,,new,4026,Home & Garden > Kitchen & Dining > Drinkware,adult,Blue,unisex,Stainless Steel,,500ml,regular,,BOTTLE-GROUP-001,in_stock,,34.99 USD,,,12.00 USD,,exclusive,US:CA:Recycling Fee:0.05 USD,US:ALL:Standard Shipping:3-5:0.00 USD,US:ALL:Standard Shipping:25.00 USD,4.6,1.2,567,4.5,false
SKU90GH1234-BLK-750,Stainless Steel Water Bottle,Stay hydrated with this double-wall insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and leak-proof design perfect for outdoor adventures.,https://example.com/product/water-bottle?variant=black-750ml,Stripe Outdoors,5544332211011,STR-BTL-750-BLK,https://example.com/images/bottle-black-large-main.jpg,https://example.com/images/bottle-colors.jpg,,,new,4026,Home & Garden > Kitchen & Dining > Drinkware,adult,Black,unisex,Stainless Steel,,750ml,regular,,BOTTLE-GROUP-001,in_stock,,44.99 USD,,,16.00 USD,,exclusive,US:CA:Recycling Fee:0.05 USD,US:ALL:Standard Shipping:3-5:0.00 USD,US:ALL:Standard Shipping:25.00 USD,4.6,1.2,567,4.5,false
SKU90GH1234-BLU-750,Stainless Steel Water Bottle,Stay hydrated with this double-wall insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and leak-proof design perfect for outdoor adventures.,https://example.com/product/water-bottle?variant=blue-750ml,Stripe Outdoors,5544332211012,STR-BTL-750-BLU,https://example.com/images/bottle-blue-large-main.jpg,https://example.com/images/bottle-colors.jpg,,,new,4026,Home & Garden > Kitchen & Dining > Drinkware,adult,Blue,unisex,Stainless Steel,,750ml,regular,,BOTTLE-GROUP-001,in_stock,,44.99 USD,,,16.00 USD,,exclusive,US:CA:Recycling Fee:0.05 USD,US:ALL:Standard Shipping:3-5:0.00 USD,US:ALL:Standard Shipping:25.00 USD,4.6,1.2,567,4.5,false
SKU56IJ7890-S-NAV,Organic Cotton T-Shirt,Classic crew neck t-shirt made from 100% organic cotton. Soft comfortable and sustainably sourced. Perfect for everyday wear.,https://example.com/product/tshirt?variant=small-navy,Stripe Basics,7788990011220,STR-TEE-ORG-S-NAV,https://example.com/images/tshirt-navy-main.jpg,"https://example.com/images/tshirt-back.jpg,https://example.com/images/tshirt-detail.jpg",,,new,212,Apparel & Accessories > Clothing > Shirts & Tops,adult,Navy Blue,unisex,Organic Cotton,Solid,S,regular,US,TSHIRT-GROUP-001,in_stock,,29.99 USD,,,10.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:0.00 USD,US:ALL:Standard Shipping:40.00 USD,4.4,2.5,892,4.2,false
SKU56IJ7890-M-NAV,Organic Cotton T-Shirt,Classic crew neck t-shirt made from 100% organic cotton. Soft comfortable and sustainably sourced. Perfect for everyday wear.,https://example.com/product/tshirt?variant=medium-navy,Stripe Basics,7788990011223,STR-TEE-ORG-M-NAV,https://example.com/images/tshirt-navy-main.jpg,"https://example.com/images/tshirt-back.jpg,https://example.com/images/tshirt-detail.jpg",,,new,212,Apparel & Accessories > Clothing > Shirts & Tops,adult,Navy Blue,unisex,Organic Cotton,Solid,M,regular,US,TSHIRT-GROUP-001,in_stock,,29.99 USD,,,10.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:0.00 USD,US:ALL:Standard Shipping:40.00 USD,4.4,2.5,892,4.2,false
SKU56IJ7890-L-NAV,Organic Cotton T-Shirt,Classic crew neck t-shirt made from 100% organic cotton. Soft comfortable and sustainably sourced. Perfect for everyday wear.,https://example.com/product/tshirt?variant=large-navy,Stripe Basics,7788990011224,STR-TEE-ORG-L-NAV,https://example.com/images/tshirt-navy-main.jpg,"https://example.com/images/tshirt-back.jpg,https://example.com/images/tshirt-detail.jpg",,,new,212,Apparel & Accessories > Clothing > Shirts & Tops,adult,Navy Blue,unisex,Organic Cotton,Solid,L,regular,US,TSHIRT-GROUP-001,in_stock,,29.99 USD,,,10.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:0.00 USD,US:ALL:Standard Shipping:40.00 USD,4.4,2.5,892,4.2,false
SKU56IJ7890-M-GRY,Organic Cotton T-Shirt,Classic crew neck t-shirt made from 100% organic cotton. Soft comfortable and sustainably sourced. Perfect for everyday wear.,https://example.com/product/tshirt?variant=medium-gray,Stripe Basics,7788990011225,STR-TEE-ORG-M-GRY,https://example.com/images/tshirt-gray-main.jpg,"https://example.com/images/tshirt-back.jpg,https://example.com/images/tshirt-detail.jpg",,,new,212,Apparel & Accessories > Clothing > Shirts & Tops,adult,Gray,unisex,Organic Cotton,Solid,M,regular,US,TSHIRT-GROUP-001,in_stock,,29.99 USD,,,10.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:0.00 USD,US:ALL:Standard Shipping:40.00 USD,4.4,2.5,892,4.2,false
SKU56IJ7890-M-WHT,Organic Cotton T-Shirt,Classic crew neck t-shirt made from 100% organic cotton. Soft comfortable and sustainably sourced. Perfect for everyday wear.,https://example.com/product/tshirt?variant=medium-white,Stripe Basics,7788990011226,STR-TEE-ORG-M-WHT,https://example.com/images/tshirt-white-main.jpg,"https://example.com/images/tshirt-back.jpg,https://example.com/images/tshirt-detail.jpg",,,new,212,Apparel & Accessories > Clothing > Shirts & Tops,adult,White,unisex,Organic Cotton,Solid,M,regular,US,TSHIRT-GROUP-001,in_stock,,29.99 USD,,,10.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:0.00 USD,US:ALL:Standard Shipping:40.00 USD,4.4,2.5,892,4.2,false
SKU23KL4567-42-BLK,Smart Fitness Watch,Track your fitness goals with this advanced smartwatch featuring heart rate monitoring GPS and sleep tracking. Water-resistant up to 50 meters with 7-day battery life.,https://example.com/product/smartwatch?variant=42mm-black,Stripe Tech,4455667788990,STR-WATCH-FIT-42-BLK,https://example.com/images/watch-black-main.jpg,"https://example.com/images/watch-side.jpg,https://example.com/images/watch-app.jpg",https://youtu.be/watch-demo-34567,,new,267,Electronics > Wearable Technology > Smartwatches,,,Black,unisex,Silicone,,42mm,regular,,WATCH-GROUP-001,in_stock,,249.99 USD,219.99 USD,2025-12-15T00:00:00Z/2026-01-15T23:59:59Z,95.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:0.00 USD|US:ALL:Express Shipping:1-2:9.99 USD,US:ALL:Standard Shipping:100.00 USD,4.9,0.5,1234,4.8,false
SKU23KL4567-46-BLK,Smart Fitness Watch,Track your fitness goals with this advanced smartwatch featuring heart rate monitoring GPS and sleep tracking. Water-resistant up to 50 meters with 7-day battery life.,https://example.com/product/smartwatch?variant=46mm-black,Stripe Tech,4455667788991,STR-WATCH-FIT-46-BLK,https://example.com/images/watch-black-large-main.jpg,"https://example.com/images/watch-side.jpg,https://example.com/images/watch-app.jpg",https://youtu.be/watch-demo-34567,,new,267,Electronics > Wearable Technology > Smartwatches,,,Black,unisex,Silicone,,46mm,regular,,WATCH-GROUP-001,in_stock,,279.99 USD,249.99 USD,2025-12-15T00:00:00Z/2026-01-15T23:59:59Z,105.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:0.00 USD|US:ALL:Express Shipping:1-2:9.99 USD,US:ALL:Standard Shipping:100.00 USD,4.9,0.5,1234,4.8,false
SKU23KL4567-42-SLV,Smart Fitness Watch,Track your fitness goals with this advanced smartwatch featuring heart rate monitoring GPS and sleep tracking. Water-resistant up to 50 meters with 7-day battery life.,https://example.com/product/smartwatch?variant=42mm-silver,Stripe Tech,4455667788992,STR-WATCH-FIT-42-SLV,https://example.com/images/watch-silver-main.jpg,"https://example.com/images/watch-side.jpg,https://example.com/images/watch-app.jpg",https://youtu.be/watch-demo-34567,,new,267,Electronics > Wearable Technology > Smartwatches,,,Silver,unisex,Silicone,,42mm,regular,,WATCH-GROUP-001,in_stock,,249.99 USD,219.99 USD,2025-12-15T00:00:00Z/2026-01-15T23:59:59Z,95.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:0.00 USD|US:ALL:Express Shipping:1-2:9.99 USD,US:ALL:Standard Shipping:100.00 USD,4.9,0.5,1234,4.8,false
SKU89MN0123-PUR,Yoga Mat Premium,High-density foam yoga mat with non-slip surface and alignment markers. Includes carrying strap for easy transport. Perfect for yoga pilates and floor exercises.,https://example.com/product/yogamat?variant=purple,Stripe Wellness,6677889900112,STR-YOGA-PRO-PUR,https://example.com/images/yogamat-purple-main.jpg,https://example.com/images/yogamat-rolled.jpg,,,new,499713,Sporting Goods > Exercise & Fitness > Yoga & Pilates,adult,Purple,unisex,TPE Foam,,6mm,regular,,YOGAMAT-GROUP-001,in_stock,,59.99 USD,,,20.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:7.99 USD,US:ALL:Standard Shipping:50.00 USD,4.3,1.8,445,4.4,false
SKU89MN0123-BLU,Yoga Mat Premium,High-density foam yoga mat with non-slip surface and alignment markers. Includes carrying strap for easy transport. Perfect for yoga pilates and floor exercises.,https://example.com/product/yogamat?variant=blue,Stripe Wellness,6677889900113,STR-YOGA-PRO-BLU,https://example.com/images/yogamat-blue-main.jpg,https://example.com/images/yogamat-rolled.jpg,,,new,499713,Sporting Goods > Exercise & Fitness > Yoga & Pilates,adult,Blue,unisex,TPE Foam,,6mm,regular,,YOGAMAT-GROUP-001,in_stock,,59.99 USD,,,20.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:7.99 USD,US:ALL:Standard Shipping:50.00 USD,4.3,1.8,445,4.4,false
SKU89MN0123-PNK,Yoga Mat Premium,High-density foam yoga mat with non-slip surface and alignment markers. Includes carrying strap for easy transport. Perfect for yoga pilates and floor exercises.,https://example.com/product/yogamat?variant=pink,Stripe Wellness,6677889900114,STR-YOGA-PRO-PNK,https://example.com/images/yogamat-pink-main.jpg,https://example.com/images/yogamat-rolled.jpg,,,new,499713,Sporting Goods > Exercise & Fitness > Yoga & Pilates,adult,Pink,unisex,TPE Foam,,6mm,regular,,YOGAMAT-GROUP-001,in_stock,,59.99 USD,,,20.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:7.99 USD,US:ALL:Standard Shipping:50.00 USD,4.3,1.8,445,4.4,false
SKU45OP6789-BRN,Leather Laptop Backpack,Professional laptop backpack with padded compartment for devices up to 15 inches. Features multiple organizational pockets USB charging port and water-resistant leather exterior.,https://example.com/product/backpack?variant=brown,Stripe Carry,9988776655443,STR-BP-LEATH-BRN,https://example.com/images/backpack-brown-main.jpg,"https://example.com/images/backpack-open.jpg,https://example.com/images/backpack-side.jpg",,,new,100,Apparel & Accessories > Handbags Wallets & Cases > Backpacks,adult,Brown,unisex,Genuine Leather,,,regular,,BACKPACK-GROUP-001,in_stock,,149.99 USD,,,55.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:0.00 USD|US:ALL:Express Shipping:1-2:12.99 USD,US:ALL:Standard Shipping:100.00 USD,4.7,1.0,678,4.6,false
SKU45OP6789-BLK,Leather Laptop Backpack,Professional laptop backpack with padded compartment for devices up to 15 inches. Features multiple organizational pockets USB charging port and water-resistant leather exterior.,https://example.com/product/backpack?variant=black,Stripe Carry,9988776655444,STR-BP-LEATH-BLK,https://example.com/images/backpack-black-main.jpg,"https://example.com/images/backpack-open.jpg,https://example.com/images/backpack-side.jpg",,,new,100,Apparel & Accessories > Handbags Wallets & Cases > Backpacks,adult,Black,unisex,Genuine Leather,,,regular,,BACKPACK-GROUP-001,in_stock,,149.99 USD,,,55.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:0.00 USD|US:ALL:Express Shipping:1-2:12.99 USD,US:ALL:Standard Shipping:100.00 USD,4.7,1.0,678,4.6,false
SKU67QR8901,Ceramic Coffee Mug Set,Set of 4 handcrafted ceramic coffee mugs with modern minimalist design. Microwave and dishwasher safe. Each mug holds 12 oz.,https://example.com/product/mug-set,Stripe Home,3344556677889,STR-MUG-SET4,https://example.com/images/mug-set-main.jpg,https://example.com/images/mug-set-single.jpg,,,new,672,Home & Garden > Kitchen & Dining > Drinkware > Mugs,adult,White,unisex,Ceramic,,12oz,regular,,MUG-GROUP-001,in_stock,,44.99 USD,,,15.00 USD,,exclusive,US:CA:Recycling Fee:0.08 USD,US:ALL:Standard Shipping:3-5:5.99 USD,US:ALL:Standard Shipping:50.00 USD,4.2,3.0,234,4.1,false
SKU12ST3456-RED,Portable Bluetooth Speaker,Compact waterproof Bluetooth speaker with 360-degree sound. 12-hour battery life and built-in microphone for hands-free calls. Perfect for outdoor adventures.,https://example.com/product/speaker?variant=red,Stripe Audio,2233445566778,STR-SPK-PORT-RED,https://example.com/images/speaker-red-main.jpg,"https://example.com/images/speaker-angle.jpg,https://example.com/images/speaker-size.jpg",https://youtu.be/speaker-demo-78901,,new,249,Electronics > Audio > Audio Components > Speakers,,,Red,unisex,Plastic & Rubber,,,,,,SPEAKER-GROUP-001,in_stock,,79.99 USD,,,28.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:0.00 USD,US:ALL:Standard Shipping:50.00 USD,4.6,1.3,523,4.5,false
SKU12ST3456-BLU,Portable Bluetooth Speaker,Compact waterproof Bluetooth speaker with 360-degree sound. 12-hour battery life and built-in microphone for hands-free calls. Perfect for outdoor adventures.,https://example.com/product/speaker?variant=blue,Stripe Audio,2233445566779,STR-SPK-PORT-BLU,https://example.com/images/speaker-blue-main.jpg,"https://example.com/images/speaker-angle.jpg,https://example.com/images/speaker-size.jpg",https://youtu.be/speaker-demo-78901,,new,249,Electronics > Audio > Audio Components > Speakers,,,Blue,unisex,Plastic & Rubber,,,,,,SPEAKER-GROUP-001,in_stock,,79.99 USD,,,28.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:0.00 USD,US:ALL:Standard Shipping:50.00 USD,4.6,1.3,523,4.5,false
SKU12ST3456-BLK,Portable Bluetooth Speaker,Compact waterproof Bluetooth speaker with 360-degree sound. 12-hour battery life and built-in microphone for hands-free calls. Perfect for outdoor adventures.,https://example.com/product/speaker?variant=black,Stripe Audio,2233445566780,STR-SPK-PORT-BLK,https://example.com/images/speaker-black-main.jpg,"https://example.com/images/speaker-angle.jpg,https://example.com/images/speaker-size.jpg",https://youtu.be/speaker-demo-78901,,new,249,Electronics > Audio > Audio Components > Speakers,,,Black,unisex,Plastic & Rubber,,,,,,SPEAKER-GROUP-001,in_stock,,79.99 USD,,,28.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:0.00 USD,US:ALL:Standard Shipping:50.00 USD,4.6,1.3,523,4.5,false
